Count,Film,Year,IMDB_score,Length_in_minute,Year_of_birth_for_lead_actor
836,LotR: Return of the King,2003,8.9,201,1981
610,Kingdom of Heaven,2005,7.2,144,1977
600,300,2007,7.7,117,1969
572,Troy,2004,7.2,163,1963
558,The Last Samurai,2003,7.7,154,1962
468,LotR: Two Towers,2002,8.7,179,1981
310,Grindhouse: Double Feature,2007,7.6,191,1951
305,We Were Soldiers,2002,7.2,138,1956
247,Rambo,2008,7.1,92,1946
236,Equilibrium,2002,7.5,107,1974
187,Blood Diamond,2006,8.0,143,1974
187,The Chronicles of Riddick,2004,6.7,119,1967
153,Pearl Harbor,2001,6.1,183,1972
152,Hero,2002,7.9,99,1963
151,Shoot 'Em Up,2007,6.7,86,1964
141,House of the Dead,2003,2.0,90,1978
140,Blade: Trinity,2004,5.9,113,1962
131,Dawn of the Dead,2004,7.4,101,1979
127,Versus,2000,6.5,119,1975
124,Resident Evil: Extinction,2007,6.3,94,1975
123,The Patriot,2000,7.1,165,1956
123,Resident Evil: Apocalypse,2004,6.2,94,1975
118,LotR: Fellowship of the Ring,2001,8.8,178,1981
114,Apocalypto,2006,7.8,139,1970
115,Aliens vs. Predator: Requiem,2007,4.7,94,1972
115,Star Wars III: Revenge of the Sith,2005,7.6,140,1981
105,The Scorpion King,2002,5.5,92,1972
102,BloodRayne,2006,2.9,95,1979
99,Once Upon a Time in Mexico,2003,6.4,102,1960
98,Blade II,2002,6.7,117,1962
97,War,2007,6.3,103,1963
95,Kill Bill: Vol. 1,2003,8.1,111,1970
93,Flags of Our Fathers,2006,7.1,135,1974
91,Ritana,2002,6.5,116,1973
90,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,151,1963
86,"Lion, the Witch & the Wardrobe",2005,6.9,143,1960
84,Letters from Iwo Jima,2006,7.9,141,1959
78,Team America,2004,7.2,98,1969
77,Children of Men,2007,7.9,109,1960
77,Gladiator,2000,8.5,155,1964
76,Indiana Jones & the Kingdom of the Crystal Skull,2008,6.2,122,1942
75,XXX,2002,5.8,124,1967
74,Serenity,2005,7.9,119,1971
73,"War, Inc.",2008,5.7,107,1966
71,I Am Legend,2007,7.2,101,1968
68,Sahara,2005,6.0,124,1969
66,xXx: State of the Union,2005,4.4,101,1969
65,Timeline,2003,5.6,116,1973
63,Bad Boys 2,2003,6.6,147,1968
60,Shaun of the Dead,2004,8.0,99,1970
60,Snakes on a Plane,2006,5.6,105,1948
59,V for Vendetta,2006,8.2,132,1960
58,Underworld,2003,7.0,121,1973
57,Iron Man,2008,7.9,126,1965
57,X-Men: The Last stand,2006,6.7,104,1940
56,The Musketeer,2001,4.7,104,1970
55,Hitman,2007,6.3,100,1968
55,Star Wars II: Attack of the Clones,2002,6.6,142,1981
54,Casino Royale,2006,8.0,162,1968
54,Star Trek: Nemesis,2002,6.4,116,1940
53,Sin City,2005,8.0,124,1952
53,Vampires: The Turning,2005,3.3,84,1973
52,Ghost Rider,2007,5.2,114,1964
52,War of the Worlds,2005,6.5,116,1962
51,Domino,2005,6.0,127,1985
50,Confessions of a Dangerous Mind,2002,7.1,113,1968
49,Munich,2005,7.6,164,1968
47,Smokin' Aces,2006,6.7,108,1965
46,The Mist,2007,7.2,126,1959
46,The Rundown,2003,6.7,104,1972
45,3:10 to Yuma,2007,7.7,122,1964
43,Mr. & Mrs. Smith,2005,6.5,120,1963
42,Hellboy,2004,6.8,122,1950
42,Pirates of the Caribbean: Curse of the Black Pearl,2003,8.0,143,1963
41,The Lost City,2005,6.7,144,1956
41,The Incredible Hulk,2008,6.8,112,1969
41,Swordfish,2001,6.5,119,1954
40,Brotherhood of the Wolf,2001,7.1,142,1965
39,Charlie's Angels: Full Throttle,2003,4.8,106,1975
39,A Man Apart,2003,6.1,109,1967
38,Bangkok Dangerous,2008,5.4,99,1964
38,Exit Wounds,2001,5.5,101,1952
38,Max Payne,2008,5.4,100,1971
37,Bulletproof Monk,2003,5.5,104,1955
37,Mission: Impossible II,2000,6.1,123,1962
36,The Dark Knight,2008,9.0,152,1974
35,Taken,2008,7.8,93,1952
34,Atonement,2007,7.8,123,1985
34,District B13 (aka Banlieue 13),2004,7.2,84,1974
30,The Devel's Rejects,2005,6.9,107,1939
30,Pan's Labyrinth,2006,8.2,118,1994
29,Hot Fuzz,2007,7.9,201,1970
29,Reign of Fire,2002,6.2,101,1969
29,Crank,2006,7.0,88,1967
28,Severance,2006,6.5,96,1977
27,Cloverfield,2008,7.0,85,1979
27,Jason X,2001,4.4,91,1955
26,Snatch,2000,8.3,102,1967
26,X2,2003,7.5,134,1940
25,The Machine Girl,2008,5.9,96,1985
24,My Bloody Valentine 3D,2009,5.5,101,1978
24,Push,2009,6.1,111,1986
23,King Kong,2005,7.2,187,1968
23,Mission: Impossible III,2006,6.9,126,1962
22,Charlie Wilson's War,2007,7.1,102,1956
22,Formula 51,2001,6.1,93,1948
22,Stardust,2007,7.7,107,1982
22,Wasabi,2001,6.6,94,1948
22,No Country for Old Men,2007,8.1,122,1946
22,Shaft,2000,5.9,99,1948
21,Assault On Precinct 13,2005,6.3,109,1970
21,The Departed,2006,8.5,151,1974
20,Crime Spree,2003,6.6,105,1948
20,Kung Fu Hustle,2004,7.8,99,1962